"type","title","attendance","speaker","time","room","url","concurrent_sessions","concurrent_attendance","expected","attendance_ratio","id"
"BREAK","COFFEE BREAK",319,NA,2017-07-04 11:00:00,"CATERING POINTS","https://user2017.sched.com/event/Avzy",1,319,966,0.33,"13"
"Tutorial","Data Carpentry: Open and Reproducible Research with R",91,"Colin Rundel",2017-07-04 11:30:00,"2.02","https://user2017.sched.com/event/Aw01",8,830,121,0.75,"14"
"Tutorial","Dose-response analysis using R",36,"Signe M. Jensen",2017-07-04 11:30:00,"4.02","https://user2017.sched.com/event/Aw06",8,830,121,0.3,"15"
"Tutorial","Geospatial visualization using R",92,"Bhaskar V. Karambelkar",2017-07-04 11:30:00,"4.03","https://user2017.sched.com/event/Aw02",8,830,121,0.76,"16"
"Tutorial","Introduction to Bayesian inference with JAGS",82,"Martyn Plummer",2017-07-04 11:30:00,"2.01","https://user2017.sched.com/event/Aw00",8,830,121,0.68,"17"
"Tutorial","Introduction to parallel computing with R",149,"Hana Ševcíková",2017-07-04 11:30:00,"3.01","https://user2017.sched.com/event/Aw04",8,830,121,1.23,"18"
"Tutorial","Rcpp: From Simple Examples to Machine Learning",175,"Dirk Eddelbuettel",2017-07-04 11:30:00,"PLENARY","https://user2017.sched.com/event/Avzz",8,830,121,1.45,"19"
"Tutorial","Solving iteration problems with purrr",138,"Charlotte Wickham",2017-07-04 11:30:00,"3.02","https://user2017.sched.com/event/Aw03",8,830,121,1.14,"20"
"Tutorial","Sports Analytics with R",67,"Stephanie Kovalchik",2017-07-04 11:30:00,"4.01","https://user2017.sched.com/event/Aw05",8,830,121,0.55,"21"
"BREAK","LUNCH",354,NA,2017-07-04 13:00:00,"CATERING POINTS","https://user2017.sched.com/event/Aw07",1,354,966,0.37,"22"
"Tutorial","data.table for beginners",109,"Arun Srinivasan",2017-07-04 14:00:00,"3.01","https://user2017.sched.com/event/Aw0C",8,907,121,0.9,"23"
"Tutorial","Efficient R Programming",236,"Colin Gillespie",2017-07-04 14:00:00,"PLENARY","https://user2017.sched.com/event/Aw08",8,907,121,1.95,"24"
"Tutorial","Introduction to Natural Language Processing with R",172,"Taylor Arnold",2017-07-04 14:00:00,"3.02","https://user2017.sched.com/event/Aw0D",8,907,121,1.42,"25"
"Tutorial","Introduction to optimal changepoint detection algorithms",99,"Toby Dylan Hocking",2017-07-04 14:00:00,"4.01","https://user2017.sched.com/event/Aw0F",8,907,121,0.82,"26"
